Dim;point_gen_method;input_file;spanner_method;epsilon;Points;Edges;Sparseness;Edges to points ratio
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-greedy;0.5;150;2056;0.183982;13.7067
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-shaker;0.5;150;3996;0.357584;26.64
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;150;1105;0.0988814;7.36667
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio;0.5;150;1344;0.120268;8.96
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first;0.5;150;1307;0.116957;8.71333
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.5;150;1105;0.0988814;7.36667
2;clustered;dist_matrix_points_2_150_clustered.txt;greedy-non-blind;0.01;150;1044;0.0934228;6.96
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-greedy;0.01;150;7843;0.701834;52.2867
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-shaker;0.01;150;7429;0.664787;49.5267
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;150;2427;0.217181;16.18
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio;0.01;150;2990;0.267562;19.9333
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first;0.01;150;2884;0.258076;19.2267
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.01;150;2443;0.218613;16.2867
2;exp;dist_matrix_points_2_150_exp.txt;greedy-non-blind;0.1;150;349;0.0312304;2.32667
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-greedy;0.1;150;11123;0.995347;74.1533
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-shaker;0.1;150;11128;0.995794;74.1867
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;150;1630;0.145861;10.8667
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio;0.1;150;1874;0.167696;12.4933
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first;0.1;150;1980;0.177181;13.2
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-lower-bound-first;0.1;150;1638;0.146577;10.92
2;exp;dist_matrix_points_2_150_exp.txt;greedy-non-blind;0.2;150;259;0.0231767;1.72667
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-greedy;0.2;150;11123;0.995347;74.1533
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-shaker;0.2;150;11068;0.990425;73.7867
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;150;1320;0.118121;8.8
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio;0.2;150;1414;0.126532;9.42667
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first;0.2;150;1525;0.136465;10.1667
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-lower-bound-first;0.2;150;1261;0.112841;8.40667
2;exp;dist_matrix_points_2_150_exp.txt;greedy-non-blind;0.5;150;185;0.0165548;1.23333
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-greedy;0.5;150;7446;0.666309;49.64
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-shaker;0.5;150;10542;0.943356;70.28
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;150;899;0.0804474;5.99333
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio;0.5;150;1049;0.0938702;6.99333
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first;0.5;150;1122;0.100403;7.48
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-lower-bound-first;0.5;150;910;0.0814318;6.06667
2;exp;dist_matrix_points_2_150_exp.txt;greedy-non-blind;0.01;150;977;0.0874273;6.51333
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-greedy;0.01;150;11171;0.999642;74.4733
2;exp;dist_matrix_points_2_150_exp.txt;blind-quasi-sorted-shaker;0.01;150;11175;1;74.5
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;150;3156;0.282416;21.04
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio;0.01;150;3381;0.30255;22.54
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-connect-first;0.01;150;3331;0.298076;22.2067
2;exp;dist_matrix_points_2_150_exp.txt;blind-random-bad-ratio-lower-bound-first;0.01;150;3160;0.282774;21.0667
2;normal;dist_matrix_points_2_150_normal.txt;greedy-non-blind;0.1;150;610;0.0545861;4.06667
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-greedy;0.1;150;11172;0.999732;74.48
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-shaker;0.1;150;11175;1;74.5
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;150;3636;0.325369;24.24
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio;0.1;150;3770;0.33736;25.1333
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first;0.1;150;3651;0.326711;24.34
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-lower-bound-first;0.1;150;3523;0.315257;23.4867
2;normal;dist_matrix_points_2_150_normal.txt;greedy-non-blind;0.2;150;431;0.0385682;2.87333
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-greedy;0.2;150;11171;0.999642;74.4733
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-shaker;0.2;150;11175;1;74.5
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;150;2649;0.237047;17.66
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio;0.2;150;3061;0.273915;20.4067
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first;0.2;150;3190;0.285459;21.2667
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-lower-bound-first;0.2;150;2667;0.238658;17.78
2;normal;dist_matrix_points_2_150_normal.txt;greedy-non-blind;0.5;150;273;0.0244295;1.82
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-greedy;0.5;150;7486;0.669888;49.9067
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-shaker;0.5;150;11175;1;74.5
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;150;1765;0.157942;11.7667
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio;0.5;150;2086;0.186667;13.9067
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first;0.5;150;2079;0.18604;13.86
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-lower-bound-first;0.5;150;1692;0.151409;11.28
2;normal;dist_matrix_points_2_150_normal.txt;greedy-non-blind;0.01;150;1701;0.152215;11.34
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-greedy;0.01;150;11175;1;74.5
2;normal;dist_matrix_points_2_150_normal.txt;blind-quasi-sorted-shaker;0.01;150;11175;1;74.5
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;150;6428;0.575213;42.8533
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio;0.01;150;6648;0.594899;44.32
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-connect-first;0.01;150;6636;0.593826;44.24
2;normal;dist_matrix_points_2_150_normal.txt;blind-random-bad-ratio-lower-bound-first;0.01;150;6318;0.565369;42.12
2;unif;dist_matrix_points_2_150_unif.txt;greedy-non-blind;0.1;150;570;0.0510067;3.8
2;unif;dist_matrix_points_2_150_unif.txt;blind-quasi-sorted-greedy;0.1;150;11072;0.990783;73.8133
2;unif;dist_matrix_points_2_150_unif.txt;blind-quasi-sorted-shaker;0.1;150;10891;0.974586;72.6067
2;unif;dist_matrix_points_2_150_unif.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;150;3431;0.307025;22.8733
2;unif;dist_matrix_points_2_150_unif.txt;blind-random-bad-ratio;0.1;150;3804;0.340403;25.36
2;unif;dist_matrix_points_2_150_unif.txt;blind-random-bad-ratio-connect-first;0.1;150;3772;0.337539;25.1467
2;unif;dist_matrix_points_2_150_unif.txt;blind-random-bad-ratio-lower-bound-first;0.1;150;3329;0.297897;22.1933
2;unif;dist_matrix_points_2_150_unif.txt;greedy-non-blind;0.2;150;404;0.0361521;2.69333
2;unif;dist_matrix_points_2_150_unif.txt;blind-quasi-sorted-greedy;0.2;150;8589;0.768591;57.26
