spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
greedy;3;50;0.5;get_exponential_points;63;0.05142857142857143
random;3;50;0.5;get_exponential_points;193;0.15755102040816327
quasi;3;50;0.5;get_exponential_points;85;0.06938775510204082
greedy;3;50;2.0;get_points;63;0.05142857142857143
random;3;50;2.0;get_points;166;0.13551020408163264
quasi;3;50;2.0;get_points;73;0.05959183673469388
greedy;3;50;2.0;get_uniform_points;61;0.04979591836734694
random;3;50;2.0;get_uniform_points;172;0.1404081632653061
quasi;3;50;2.0;get_uniform_points;76;0.062040816326530614
greedy;3;50;2.0;get_exponential_points;50;0.04081632653061224
random;3;50;2.0;get_exponential_points;124;0.10122448979591837
quasi;3;50;2.0;get_exponential_points;60;0.04897959183673469
greedy;2;400;2.0;get_uniform_points;475;0.005952380952380952
random;2;400;2.0;get_uniform_points;2494;0.0312531328320802
quasi;2;400;2.0;get_uniform_points;556;0.006967418546365915
greedy;2;400;0.5;get_uniform_points;729;0.009135338345864661
random;2;400;0.5;get_uniform_points;6060;0.07593984962406015
quasi;2;400;0.5;get_uniform_points;1072;0.013433583959899749
greedy;3;100;0.01;get_points;3303;0.6672727272727272
random;3;100;0.01;get_points;4296;0.8678787878787879
quasi;3;100;0.01;get_points;3669;0.7412121212121212
greedy;3;100;0.01;get_exponential_points;1000;0.20202020202020202
random;3;100;0.01;get_exponential_points;2006;0.40525252525252525
quasi;3;100;0.01;get_exponential_points;1303;0.2632323232323232
greedy;2;400;0.5;get_points;742;0.009298245614035089
random;2;400;0.5;get_points;6218;0.07791979949874686
quasi;2;400;0.5;get_points;1096;0.013734335839598998
greedy;3;100;0.1;get_exponential_points;383;0.07737373737373737
random;3;100;0.1;get_exponential_points;1207;0.24383838383838383
quasi;3;100;0.1;get_exponential_points;559;0.11292929292929293
greedy;3;100;0.1;get_points;1078;0.21777777777777776
random;3;100;0.1;get_points;2571;0.5193939393939394
quasi;3;100;0.1;get_points;1443;0.2915151515151515
greedy;3;100;0.1;get_uniform_points;1002;0.20242424242424242
random;3;100;0.1;get_uniform_points;2476;0.5002020202020202
quasi;3;100;0.1;get_uniform_points;1336;0.2698989898989899
greedy;3;100;0.2;get_points;633;0.12787878787878787
random;3;100;0.2;get_points;1944;0.3927272727272727
quasi;3;100;0.2;get_points;897;0.1812121212121212
greedy;3;100;0.2;get_uniform_points;611;0.12343434343434344
random;3;100;0.2;get_uniform_points;1929;0.3896969696969697
quasi;3;100;0.2;get_uniform_points;908;0.18343434343434342
greedy;3;100;0.2;get_exponential_points;249;0.0503030303030303
random;3;100;0.2;get_exponential_points;872;0.17616161616161616
quasi;3;100;0.2;get_exponential_points;354;0.07151515151515152
greedy;3;100;0.01;get_uniform_points;3443;0.6955555555555556
random;3;100;0.01;get_uniform_points;4354;0.8795959595959596
quasi;3;100;0.01;get_uniform_points;3829;0.7735353535353535
greedy;3;100;0.5;get_points;292;0.05898989898989899
random;3;100;0.5;get_points;1155;0.23333333333333334
quasi;3;100;0.5;get_points;452;0.09131313131313132
greedy;3;100;0.5;get_uniform_points;276;0.055757575757575756
random;3;100;0.5;get_uniform_points;1173;0.23696969696969697
quasi;3;100;0.5;get_uniform_points;414;0.08363636363636363
greedy;3;100;2.0;get_uniform_points;133;0.026868686868686868
random;3;100;2.0;get_uniform_points;447;0.0903030303030303
quasi;3;100;2.0;get_uniform_points;170;0.03434343434343434
greedy;3;100;0.5;get_exponential_points;142;0.028686868686868688
random;3;100;0.5;get_exponential_points;559;0.11292929292929293
quasi;3;100;0.5;get_exponential_points;198;0.04
greedy;3;100;2.0;get_points;131;0.026464646464646465
random;3;100;2.0;get_points;390;0.07878787878787878
quasi;3;100;2.0;get_points;155;0.031313131313131314
greedy;3;100;2.0;get_exponential_points;104;0.02101010101010101
random;3;100;2.0;get_exponential_points;277;0.05595959595959596
quasi;3;100;2.0;get_exponential_points;113;0.02282828282828283
greedy;2;400;2.0;get_exponential_points;420;0.005263157894736842
random;2;400;2.0;get_exponential_points;1700;0.021303258145363407
quasi;2;400;2.0;get_exponential_points;465;0.005827067669172932
greedy;3;200;0.01;get_exponential_points;3617;0.18175879396984926
random;3;200;0.01;get_exponential_points;7210;0.36231155778894475
