Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
8;0.0001;2000;get_uniform_points;query_1;0.048;0.1255;0.08465;96;251;169.3
8;0.0001;2000;get_points;query_2;0.032;0.136;0.08705000000000002;64;272;174.1
8;0.0001;2000;get_uniform_points;query_2;0.055;0.147;0.0941;110;294;188.2
8;0.0005;2000;get_uniform_points;query_2;0.0555;0.143;0.09095;111;286;181.9
8;0.0005;2000;get_points;query_1;0.064;0.132;0.09824999999999999;128;264;196.5
8;0.0005;2000;get_points;query_2;0.027;0.1255;0.07930000000000001;54;251;158.6
8;0.0005;2000;get_uniform_points;query_1;0.048;0.1255;0.0843;96;251;168.6
8;0.005;2000;get_points;query_2;0.009;0.046;0.029250000000000005;18;92;58.5
8;0.001;2000;get_points;query_2;0.0205;0.106;0.0704;41;212;140.8
8;0.005;2000;get_uniform_points;query_2;0.034;0.0945;0.059399999999999994;68;189;118.8
8;0.01;2000;get_points;query_2;0.0055;0.016;0.0101;11;32;20.2
8;0.001;2000;get_uniform_points;query_2;0.054;0.1395;0.08735000000000001;108;279;174.7
8;0.001;2000;get_uniform_points;query_1;0.048;0.125;0.08424999999999999;96;250;168.5
8;0.001;2000;get_points;query_1;0.063;0.131;0.09790000000000001;126;262;195.8
8;0.005;2000;get_uniform_points;query_1;0.049;0.1215;0.08214999999999999;98;243;164.3
8;0.005;2000;get_points;query_1;0.0605;0.128;0.09085;121;256;181.7
8;0.01;2000;get_uniform_points;query_2;0.0205;0.0635;0.04;41;127;80.0
8;0.01;2000;get_points;query_1;0.057;0.1195;0.0845;114;239;169.0
8;0.01;2000;get_uniform_points;query_1;0.048;0.1195;0.07844999999999999;96;239;156.9
10;0.0001;2000;get_points;query_1;0.0795;0.1945;0.15045;159;389;300.9
10;0.0005;2000;get_points;query_2;0.059;0.2275;0.15035;118;455;300.7
10;0.0005;2000;get_points;query_1;0.0775;0.196;0.1497;155;392;299.4
10;0.0001;2000;get_uniform_points;query_1;0.101;0.1765;0.14135;202;353;282.7
10;0.0001;2000;get_points;query_2;0.059;0.2635;0.1664;118;527;332.8
10;0.0001;2000;get_uniform_points;query_2;0.127;0.2375;0.18295;254;475;365.9
10;0.0005;2000;get_uniform_points;query_1;0.101;0.1765;0.14135;202;353;282.7
10;0.005;2000;get_points;query_2;0.0135;0.0585;0.03774999999999999;27;117;75.5
10;0.0005;2000;get_uniform_points;query_2;0.1355;0.242;0.17439999999999997;271;484;348.8
10;0.001;2000;get_points;query_1;0.076;0.1945;0.1485;152;389;297.0
10;0.01;2000;get_points;query_2;0.0035;0.014;0.00975;7;28;19.5
10;0.001;2000;get_points;query_2;0.0505;0.2065;0.1272;101;413;254.4
10;0.005;2000;get_uniform_points;query_2;0.0535;0.124;0.08519999999999998;107;248;170.4
10;0.01;2000;get_uniform_points;query_2;0.031;0.056;0.04035;62;112;80.7
10;0.005;2000;get_points;query_1;0.073;0.1795;0.13789999999999997;146;359;275.8
10;0.001;2000;get_uniform_points;query_1;0.1005;0.1735;0.1406;201;347;281.2
10;0.001;2000;get_uniform_points;query_2;0.129;0.2245;0.1641;258;449;328.2
10;0.01;2000;get_points;query_1;0.065;0.1655;0.12785;130;331;255.7
10;0.005;2000;get_uniform_points;query_1;0.098;0.1735;0.13795;196;347;275.9
10;0.01;2000;get_uniform_points;query_1;0.092;0.1675;0.134;184;335;268.0
12;0.0001;2000;get_points;query_2;0.0485;0.181;0.12440000000000002;97;362;248.8
12;0.0005;2000;get_points;query_2;0.045;0.156;0.1078;90;312;215.6
12;0.0001;2000;get_uniform_points;query_1;0.147;0.2285;0.19039999999999999;294;457;380.8
12;0.0001;2000;get_points;query_1;0.178;0.282;0.2253;356;564;450.6
12;0.0001;2000;get_uniform_points;query_2;0.0795;0.2915;0.20385;159;583;407.7
12;0.0005;2000;get_uniform_points;query_1;0.146;0.228;0.18970000000000004;292;456;379.4
12;0.0005;2000;get_points;query_1;0.183;0.276;0.22409999999999997;366;552;448.2
12;0.005;2000;get_points;query_2;0.006;0.032;0.0217;12;64;43.4
12;0.0005;2000;get_uniform_points;query_2;0.065;0.2855;0.19119999999999998;130;571;382.4
12;0.001;2000;get_points;query_2;0.0355;0.1365;0.09155;71;273;183.1
12;0.01;2000;get_points;query_2;0.002;0.007;0.00455;4;14;9.1
12;0.005;2000;get_uniform_points;query_2;0.043;0.1755;0.1146;86;351;229.2
12;0.001;2000;get_uniform_points;query_2;0.0585;0.277;0.18180000000000002;117;554;363.6
12;0.001;2000;get_points;query_1;0.18;0.2705;0.2198;360;541;439.6
12;0.001;2000;get_uniform_points;query_1;0.1505;0.225;0.18880000000000002;301;450;377.6
12;0.01;2000;get_uniform_points;query_2;0.0175;0.099;0.05985;35;198;119.7
12;0.005;2000;get_points;query_1;0.153;0.2645;0.20504999999999995;306;529;410.1
12;0.005;2000;get_uniform_points;query_1;0.1445;0.22;0.17965;289;440;359.3
12;0.01;2000;get_points;query_1;0.1435;0.24;0.18535;287;480;370.7
12;0.01;2000;get_uniform_points;query_1;0.1285;0.2105;0.16795;257;421;335.9
