Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
3;0.1;500;unif;query_2;0.004;0.006;0.004400000000000001;2;3;2.2
3;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.1;500;exp;query_1;0.008;0.028;0.0212;4;14;10.6
3;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.5;500;exp;query_2;0.004;0.022;0.015999999999999997;2;11;8.0
3;0.1;500;exp;query_2;0.014;0.03;0.021200000000000004;7;15;10.6
3;0.5;500;exp;query_1;0.004;0.026;0.013000000000000001;2;13;6.5
4;0.001;500;exp;query_2;0.02;0.044;0.027200000000000002;10;22;13.6
4;0.01;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.001;500;exp;query_1;0.016;0.03;0.023200000000000002;8;15;11.6
4;0.01;500;normal;query_2;0.01;0.03;0.015200000000000002;5;15;7.6
4;0.01;500;unif;query_1;0.004;0.018;0.0062;2;9;3.1
4;0.001;500;normal;query_1;0.01;0.034;0.0222;5;17;11.1
4;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.1;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.001;500;unif;query_1;0.026;0.076;0.04379999999999999;13;38;21.9
4;0.01;500;exp;query_1;0.01;0.038;0.0246;5;19;12.3
4;0.01;500;exp;query_2;0.016;0.038;0.026600000000000002;8;19;13.3
4;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.1;500;unif;query_2;0.004;0.006;0.004200000000000001;2;3;2.1
4;0.001;500;unif;query_2;0.026;0.096;0.06460000000000002;13;48;32.3
4;0.1;500;exp;query_2;0.018;0.026;0.020999999999999998;9;13;10.5
4;0.1;500;exp;query_1;0.012;0.026;0.020799999999999996;6;13;10.4
4;0.001;500;normal;query_2;0.03;0.09;0.05920000000000001;15;45;29.6
4;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.01;500;unif;query_2;0.008;0.054;0.031200000000000006;4;27;15.6
4;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
4;0.5;500;exp;query_2;0.006;0.014;0.011199999999999998;3;7;5.6
4;0.5;500;exp;query_1;0.008;0.022;0.014600000000000002;4;11;7.3
5;0.01;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.001;500;exp;query_2;0.008;0.028;0.017;4;14;8.5
5;0.001;500;exp;query_1;0.014;0.034;0.024;7;17;12.0
5;0.01;500;unif;query_1;0.004;0.008;0.005800000000000001;2;4;2.9
5;0.001;500;normal;query_1;0.014;0.094;0.045;7;47;22.5
5;0.01;500;normal;query_2;0.008;0.048;0.021400000000000002;4;24;10.7
5;0.01;500;exp;query_1;0.014;0.04;0.0262;7;20;13.1
5;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.1;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.01;500;exp;query_2;0.01;0.026;0.016600000000000004;5;13;8.3
5;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
